id,property_type,room_type,host_id,bedroom,beds,bathroom
6369,Private room in rental unit,Private room,13660,1 bedroom,1 bed,1 private bath
21853,Private room in rental unit,Private room,83531,1 bedroom,1 bed,1 bath
24805,Entire rental unit,Entire home/apt,346366726,6 bedrooms,1 bed,1 bath
26825,Private room in home,Private room,114340,1 bedroom,1 bed,1.5 baths
30320,Entire rental unit,Entire home/apt,130907,1 bedroom,2 beds,1 bath
30959,Entire loft,Entire home/apt,132883,1 bedroom,1 bed,1 bath
336834,Entire rental unit,Entire home/apt,1713427,2 bedrooms,3 beds,1 bath
339144,Entire rental unit,Entire home/apt,1721158,1 bedroom,2 beds,1 bath
40718,Entire rental unit,Entire home/apt,34217435,1 bedroom,2 beds,1 bath
339171,Entire rental unit,Entire home/apt,1722284,1 bedroom,2 beds,1 bath
40916,Entire rental unit,Entire home/apt,130907,1 bedroom,3 beds,1 bath
62423,Private room in rental unit,Private room,303845,1 bedroom,2 beds,1.5 shared baths
341939,Entire rental unit,Entire home/apt,1694537,1 bedroom,1 bed,1 bath
70073,Entire rental unit,Entire home/apt,353738,1 bedroom,1 bed,1 bath
70310,Entire rental unit,Entire home/apt,353738,1 bedroom,2 beds,1 bath
74352,Entire rental unit,Entire home/apt,391014,1 bedroom,2 beds,1 bath
342095,Entire rental unit,Entire home/apt,1703448,1 bedroom,2 beds,1 bath
82481,Entire rental unit,Entire home/apt,448981,1 bedroom,1 bed,1 bath
84719,Entire rental unit,Entire home/apt,259229,1 bedroom,1 bed,1 bath
86042,Entire rental unit,Entire home/apt,364585,3 bedrooms,3 beds,1 bath
345249,Entire rental unit,Entire home/apt,1751133,3 bedrooms,4 beds,1.5 baths
347510,Entire rental unit,Entire home/apt,1751133,3 bedrooms,3 beds,2.5 baths
89954,Entire loft,Entire home/apt,487095,2 bedrooms,3 beds,1 bath
354838,Entire rental unit,Entire home/apt,1496188,2 bedrooms,3 beds,1 bath
361053,Entire rental unit,Entire home/apt,1729503,2 bedrooms,4 beds,1 bath
363476,Private room in rental unit,Private room,1836617,1 bedroom,1 bed,1.5 shared baths
93100,Private room in rental unit,Private room,499977,3 bedrooms,2 beds,2 baths
371532,Entire rental unit,Entire home/apt,1871034,1 bedroom,2 beds,1 bath
100411,Entire rental unit,Entire home/apt,527760,1 bedroom,1 bed,1 bath
374558,Entire rental unit,Entire home/apt,1884261,Studio,1 bed,1 bath
375472,Private room in rental unit,Private room,1888816,1 bedroom,1 bed,1.5 shared baths
102040,Private room in rental unit,Private room,533936,1 bedrooms,1 beds,0 bathrooms
376379,Entire loft,Entire home/apt,1892467,1 bedroom,1 bed,1 bath
103541,Entire rental unit,Entire home/apt,361930,2 bedrooms,3 beds,2 baths
396532,Entire rental unit,Entire home/apt,1981346,1 bedroom,2 beds,1 bath
114854,Entire rental unit,Entire home/apt,361930,1 bedroom,2 beds,1 bath
120293,Private room in rental unit,Private room,605612,1 bedroom,2 beds,1 shared bath
123864,Entire rental unit,Entire home/apt,605612,Studio,2 beds,1 bath
132428,Private room in rental unit,Private room,650803,1 bedroom,1 bed,1 bath
397778,Entire rental unit,Entire home/apt,1408525,1 bedroom,1 bed,1 bath
136058,Private room in rental unit,Private room,666482,1 bedroom,1 bed,1 shared bath
163429,Entire loft,Entire home/apt,780107,1 bedroom,2 beds,1 bath
398450,Entire rental unit,Entire home/apt,2150362,1 bedroom,2 beds,1 bath
402588,Entire rental unit,Entire home/apt,1408525,1 bedroom,1 bed,1 bath
167183,Private room in chalet,Private room,796746,1 bedroom,1 bed,1 private bath
404569,Entire rental unit,Entire home/apt,1408525,1 bedroom,1 bed,1 bath
406341,Private room in rental unit,Private room,2024487,1 bedroom,2 beds,1.5 baths
177523,Entire rental unit,Entire home/apt,596469,Studio,1 bed,1 bath
414763,Entire rental unit,Entire home/apt,1408525,Studio,1 bed,1 bath
415967,Entire rental unit,Entire home/apt,2068619,1 bedroom,1 bed,1 bath
420039,Entire rental unit,Entire home/apt,9934732,1 bedroom,1 bed,1 bath
196197,Entire rental unit,Entire home/apt,852616,1 bedroom,1 bed,1 bath
198296,Entire rental unit,Entire home/apt,967721,2 bedrooms,3 beds,1 bath
427407,Entire rental unit,Entire home/apt,2106353,Studio,2 beds,1.5 baths
199016,Private room in rental unit,Private room,967721,1 bedroom,1 bed,1 shared bath
